paragraph_id|label_id|x1|y1|x2|y2|text
0|0|0.29261363636363635|0.9631944444444445|0.34339488636363635|1.0|AFTER
0|1|0.34339488636363635|0.9631944444444445|0.3660511363636364|1.0|92
0|2|0.3660511363636364|0.9631944444444445|0.4203480113636363|1.0|YEARS,
0|3|0.4203480113636363|0.9631944444444445|0.45472301136363635|1.0|UPS
0|4|0.45472301136363635|0.9631944444444445|0.5074573863636364|1.0|PLANS
0|5|0.5074573863636364|0.9631944444444445|0.5609730113636363|1.0|STOCK
0|6|0.5609730113636363|0.9631944444444445|0.6359730113636364|1.0|OFFERING
0|0|0.29261363636363635|0.9125|0.3312855113636364|0.9493055555555555|NEW
0|1|0.3312855113636364|0.9125|0.3750355113636364|0.9493055555555555|YORK
0|2|0.3750355113636364|0.9125|0.38909801136363636|0.9493055555555555|--
0|3|0.38909801136363636|0.9125|0.42386363636363633|0.9493055555555555|Ever
0|4|0.42386363636363633|0.9125|0.4652698863636363|0.9493055555555555|since
0|5|0.4652698863636363|0.9125|0.49612926136363633|0.9493055555555555|two
0|6|0.49612926136363633|0.9125|0.5480823863636364|0.9493055555555555|Seattle
0|7|0.5480823863636364|0.9125|0.6238636363636363|0.9493055555555555|teen-agers
0|8|0.6238636363636363|0.9125|0.6765980113636363|0.9493055555555555|started
0|9|0.6765980113636363|0.9125|0.6910511363636364|0.9493055555555555|a
0|10|0.29261363636363635|0.8756944444444444|0.36370738636363636|0.9125|telephone
0|11|0.36370738636363636|0.8756944444444444|0.43050426136363634|0.9125|message
0|12|0.43050426136363634|0.8756944444444444|0.4836292613636363|0.9125|service
0|13|0.4836292613636363|0.8756944444444444|0.5015980113636364|0.9125|in
0|14|0.5015980113636364|0.8756944444444444|0.5406605113636364|0.9125|1907
0|15|0.5406605113636364|0.8756944444444444|0.5726917613636363|0.9125|that
0|16|0.5726917613636363|0.8756944444444444|0.6113636363636363|0.9125|grew
0|17|0.6113636363636363|0.8756944444444444|0.6308948863636363|0.9125|to
0|18|0.6308948863636363|0.8756944444444444|0.6902698863636363|0.9125|become
0|19|0.29261363636363635|0.8388888888888889|0.3410511363636364|0.8756944444444444|United
0|20|0.3410511363636364|0.8388888888888889|0.38909801136363636|0.8756944444444444|Parcel
0|21|0.38909801136363636|0.8388888888888889|0.44339488636363633|0.8756944444444444|Service
0|22|0.44339488636363633|0.8388888888888889|0.46370738636363634|0.8756944444444444|of
0|23|0.46370738636363634|0.8388888888888889|0.5250355113636364|0.8756944444444444|America
0|24|0.5250355113636364|0.8388888888888889|0.5578480113636364|0.8756944444444444|Inc.,
0|25|0.5578480113636364|0.8388888888888889|0.5848011363636363|0.8756944444444444|the
0|26|0.5848011363636363|0.8388888888888889|0.6547230113636363|0.8756944444444444|company,
0|27|0.6547230113636363|0.8388888888888889|0.6890980113636364|0.8756944444444444|now
0|28|0.29261363636363635|0.8020833333333334|0.3195667613636364|0.8388888888888889|the
0|29|0.3195667613636364|0.8020833333333334|0.3730823863636364|0.8388888888888889|world's
0|30|0.3730823863636364|0.8020833333333334|0.42464488636363634|0.8388888888888889|largest
0|31|0.42464488636363634|0.8020833333333334|0.4867542613636363|0.8388888888888889|package
0|32|0.4867542613636363|0.8020833333333334|0.5430042613636363|0.8388888888888889|delivery
0|33|0.5430042613636363|0.8020833333333334|0.5988636363636364|0.8388888888888889|service,
0|34|0.5988636363636364|0.8020833333333334|0.6293323863636363|0.8388888888888889|has
0|35|0.6293323863636363|0.8020833333333334|0.6676136363636364|0.8388888888888889|been
0|36|0.6676136363636364|0.8020833333333334|0.6820667613636363|0.8388888888888889|a
0|37|0.29261363636363635|0.7652777777777777|0.33245738636363636|0.8020833333333334|rarity
0|38|0.33245738636363636|0.7652777777777777|0.3504261363636364|0.8020833333333334|in
0|39|0.3504261363636364|0.7652777777777777|0.42073863636363634|0.8020833333333334|corporate
0|40|0.42073863636363634|0.7652777777777777|0.48597301136363635|0.8020833333333334|America.
0|0|0.29261363636363635|0.7145833333333333|0.3445667613636364|0.7513888888888889|Owned
0|1|0.3445667613636364|0.7145833333333333|0.3660511363636364|0.7513888888888889|by
0|2|0.3660511363636364|0.7145833333333333|0.38831676136363635|0.7513888888888889|its
0|3|0.38831676136363635|0.7145833333333333|0.4660511363636363|0.7513888888888889|employees
0|4|0.4660511363636363|0.7145833333333333|0.49691051136363634|0.7513888888888889|and
0|5|0.49691051136363634|0.7145833333333333|0.5723011363636363|0.7513888888888889|managers,
0|6|0.5723011363636363|0.7145833333333333|0.5867542613636363|0.7513888888888889|it
0|7|0.5867542613636363|0.7145833333333333|0.6043323863636363|0.7513888888888889|is
0|8|0.6043323863636363|0.7145833333333333|0.6187855113636364|0.7513888888888889|a
0|9|0.6187855113636364|0.7145833333333333|0.6859730113636363|0.7513888888888889|company
0|10|0.29261363636363635|0.6777777777777778|0.3390980113636364|0.7145833333333333|where
0|11|0.3390980113636364|0.6777777777777778|0.3816761363636364|0.7145833333333333|many
0|12|0.3816761363636364|0.6777777777777778|0.4320667613636363|0.7145833333333333|people
0|13|0.4320667613636363|0.6777777777777778|0.47855113636363633|0.7145833333333333|spend
0|14|0.47855113636363633|0.6777777777777778|0.5140980113636363|0.7145833333333333|their
0|15|0.5140980113636363|0.6777777777777778|0.5574573863636363|0.7145833333333333|entire
0|16|0.5574573863636363|0.6777777777777778|0.6160511363636363|0.7145833333333333|working
0|17|0.6160511363636363|0.6777777777777778|0.6558948863636364|0.7145833333333333|lives.
0|18|0.6558948863636364|0.6777777777777778|0.6871448863636364|0.7145833333333333|The
