user;document;corpus;paragraph;system_relevance;perceived_relevance;system_relevance_type;f_average_fixation_duration;f_average_forward_saccades_length;f_regression_ratio;f_thorough_reading_ratio;f_coherently_read_text_length
A01;nq_7p_a1_Mzgy;nq;0;False;True;i;0.28497213702889956;190.99529014846402;0.0;1.0;2877.5732046740404
A01;nq_7p_a1_Mzgy;nq;1;True;True;r;0.3601480143799583;155.77380676803443;0.0;1.0;2382.046090934942
A01;nq_7p_a1_Mzgy;nq;2;False;False;i;0.2852733760743849;140.46418379272242;0.0;0.8356845922689073;4891.589970200811
A01;nq_7p_a1_Mzgy;nq;3;False;False;i;0.2860461197128033;165.26168267376133;0.0;0.8589348811945469;3635.1349084724893
A01;nq_7p_a1_Mzgy;nq;4;False;False;i;0.26853309197528474;165.2670377744781;0.0;1.0;1539.7826183854556
A01;nq_7p_a1_Mzgy;nq;5;False;False;i;0.28046393889991666;172.43528795594392;0.0;0.5623346399752247;1469.726934209312
A01;nq_7p_a1_Mzgy;nq;6;False;False;i;0.27928206616973655;263.4750883410517;0.0;0.0;0.0
A01;nq_7p_a5_NTE0;nq;0;False;False;i;0.28404680869458826;169.85038475334846;0.0;0.8644774062612007;6912.909501614743
A01;nq_7p_a5_NTE0;nq;1;False;False;i;0.22491311687248994;141.29265327665647;0.0;1.0;2352.5502431423765
A01;nq_7p_a5_NTE0;nq;2;False;False;i;0.3035301638036025;147.94959412411743;0.0;0.8667432289860894;5568.82551931672
A01;nq_7p_a5_NTE0;nq;3;False;False;i;0.28735530295838335;169.32456414538598;0.0;0.6881351488381361;2660.318139368357
A01;nq_7p_a5_NTE0;nq;4;False;False;i;0.30268339916768705;157.7733415868501;0.0;1.0;2848.4000588073195
A01;nq_7p_a5_NTE0;nq;5;True;True;r;0.3291764117655239;152.1177789719489;0.0;1.0;4337.329138760182
A01;nq_7p_a5_NTE0;nq;6;False;False;i;0.34620554775729884;161.18267962745523;0.0;1.0;0.0
A01;nq_6p_a5_LTkw;nq;0;False;False;i;0.37740332979514335;184.28698568965822;0.0;0.6309466589710113;4095.913831968106
A01;nq_6p_a5_LTkw;nq;1;False;False;i;0.2613554732650054;237.45564418781555;0.0;0.0;0.0
A01;nq_6p_a5_LTkw;nq;2;False;False;i;0.20317578746884227;125.15236414400991;0.0;0.0;0.0
A01;nq_6p_a5_LTkw;nq;3;False;False;i;0.2516022198634298;141.8030151032371;0.0;0.0;0.0
A01;nq_6p_a5_LTkw;nq;4;False;False;i;0.29981342366959574;220.27685806330774;0.0;0.0;0.0
A01;nq_6p_a5_LTkw;nq;5;True;True;r;0.3083184243410463;199.23343847193257;0.0;1.0;5372.313727779117
A01;nq_5p_a2_MTgz;nq;0;False;False;i;0.2530894665665231;147.94628053946073;0.0;0.6687674487635656;1312.9163779025566
A01;nq_5p_a2_MTgz;nq;1;False;True;i;0.31879164759531314;156.51108285117922;0.0;1.0;2505.663498635557
A01;nq_5p_a2_MTgz;nq;2;True;True;r;0.3018447967059614;124.7801964019152;0.0;1.0;1779.5024744123589
A01;nq_5p_a2_MTgz;nq;3;False;True;i;0.3036146531155174;140.45385621909645;0.0;1.0;4591.962681219578
A01;nq_5p_a2_MTgz;nq;4;False;False;i;0.2918650784214363;179.25976357889334;0.0;1.0;0.0
A01;nq_5p_a0_LTcw;nq;0;True;False;r;0.2747690547824742;181.50869720869468;0.0;1.0;3199.1971409198222
A01;nq_5p_a0_LTcw;nq;1;False;True;i;0.1847862064326581;154.16927360390108;0.0;0.0;0.0
A01;nq_5p_a0_LTcw;nq;2;False;False;i;0.28342811856216904;166.49882270461677;0.0;1.0;1587.3223130522538
A01;nq_5p_a0_LTcw;nq;3;False;False;i;0.30047844002527857;135.1819853941369;0.0;0.0;0.0
A01;nq_5p_a0_LTcw;nq;4;False;True;i;0.3440351886844053;172.9100444864619;0.0;1.0;2652.643746748657
A01;nq_6p_a3_MzA5;nq;0;False;True;i;0.2658106904725963;143.99412084641378;0.0;1.0;2832.061936667048
A01;nq_6p_a3_MzA5;nq;1;False;False;i;0.31987497394084097;158.02904072610187;0.0;0.0;0.0
A01;nq_6p_a3_MzA5;nq;2;False;False;i;0.26249643825985713;185.1606633488376;0.0;1.0;2166.7248020519482
A01;nq_6p_a3_MzA5;nq;3;True;True;r;0.3017760325921927;156.54244786836276;0.0;1.0;0.0
A01;nq_6p_a3_MzA5;nq;4;False;False;i;0.27112690428204833;175.56720761570196;0.0;1.0;1003.6742419736926
A01;nq_6p_a3_MzA5;nq;5;False;False;i;0.25232146917022946;197.6911651043485;0.0;0.7609529751540384;2929.6003762400237
A01;nq_5p_a0_LTIz;nq;0;True;True;r;0.33421498481520817;165.80236454323318;0.0;1.0;3102.26766167608
A01;nq_5p_a0_LTIz;nq;1;False;False;i;0.1687241875848109;269.444075269379;0.0;0.0;0.0
A01;nq_5p_a0_LTIz;nq;2;False;False;i;0.29764964653665876;151.20981978528866;0.0;1.0;6976.971881788105
A01;nq_5p_a0_LTIz;nq;3;False;False;i;0.3103319878792039;299.5175603303368;0.0;0.0;0.0
A01;nq_5p_a0_LTIz;nq;4;False;False;i;0.30129319211573174;258.17126980677614;0.0;0.0;0.0
A01;nq_5p_a3_LTYx;nq;0;False;True;i;0.33944692191283077;166.64301156354355;0.0;1.0;5671.850425586967
A01;nq_5p_a3_LTYx;nq;1;False;False;i;0.3439661856661081;161.44088420539342;0.0;1.0;3859.4364845870496
A01;nq_5p_a3_LTYx;nq;2;False;False;i;0.2912414418778721;136.87595395262096;0.0;1.0;1183.524946879305
A01;nq_5p_a3_LTYx;nq;3;True;True;r;0.43786644365087035;222.65265001794347;0.0;0.0;0.0
A01;nq_5p_a3_LTYx;nq;4;False;False;i;0.24102740017479243;133.39121397142;0.0;1.0;0.0
A01;nq_6p_a1_LTEy;nq;0;False;True;i;0.3682407940740905;192.84934077722934;0.0;0.5514504048407627;1238.9281998333372
A01;nq_6p_a1_LTEy;nq;1;True;True;r;0.3362373214254694;162.08027941735432;0.0;0.7221125324455419;1275.6372386616936
A01;nq_6p_a1_LTEy;nq;2;False;True;i;0.3038703903307497;155.65453463853194;0.0;0.5787908790799962;2113.6282117826904
A01;nq_6p_a1_LTEy;nq;3;False;False;i;0.37199015488648113;172.22909147429135;0.0;1.0;3134.212616800334
A01;nq_6p_a1_LTEy;nq;4;False;False;i;0.2394584009528437;186.68946549976238;0.0;0.686959981246873;1393.436976971239
A01;nq_6p_a1_LTEy;nq;5;False;False;i;0.12352804819394336;157.05208994581062;0.0;0.0;0.0
A01;nq_5p_a4_LTI3;nq;0;False;False;i;0.3538418574562434;152.36306734322343;0.0;0.9282760455539756;13551.618681756067
A01;nq_5p_a4_LTI3;nq;1;False;False;i;0.27387140669987875;144.75608986011272;0.0;0.6974295173932443;3773.090426083846
A01;nq_5p_a4_LTI3;nq;3;False;False;i;0.25456347252753747;173.7261062996422;0.0;0.34996416054669416;1190.917857446219
A01;nq_5p_a4_LTI3;nq;4;True;True;r;0.3185809138436344;176.16888263539755;0.0;1.0;2274.5585980870364
A01;nq_7p_a2_LTYz;nq;0;False;False;i;0.3573650434633521;150.1115448962751;0.0;1.0;0.0
A01;nq_7p_a2_LTYz;nq;1;False;False;i;0.3721541040573159;161.4078896330185;0.0;0.880031862645513;2589.2520907769162
A01;nq_7p_a2_LTYz;nq;2;True;True;r;0.35111902724797317;149.18484534574387;0.0;1.0;6792.05599457951
A01;nq_7p_a2_LTYz;nq;3;False;False;i;0.3025782306283402;159.62281143068327;0.0;1.0;1059.8226625487882
A01;nq_7p_a2_LTYz;nq;4;False;False;i;0.23120123098067014;129.26448682972583;0.0;1.0;1233.0604731890262
A01;nq_7p_a2_LTYz;nq;5;False;False;i;0.19680973408127045;143.30504640497043;0.0;0.0;0.0
A01;nq_7p_a2_LTYz;nq;6;False;False;i;0.21930227511912648;261.80471585747995;0.0;0.0;0.0
A01;nq_6p_a4_ODQz;nq;0;False;False;i;0.323885757153847;163.56898019389686;0.0;0.7602355499640695;4158.117773108674
A01;nq_6p_a4_ODQz;nq;1;False;False;i;0.32272040370041827;158.38747921488695;0.0;1.0;4030.138835179182
A01;nq_6p_a4_ODQz;nq;2;False;False;i;0.36312413608841304;138.8708077698708;0.0;1.0;0.0
A01;nq_6p_a4_ODQz;nq;3;False;False;i;0.24502845466142809;132.9042134458613;0.0;1.0;1101.8994208069334
A01;nq_6p_a4_ODQz;nq;4;True;True;r;0.30815053900043826;149.09403848410014;0.0;0.8795651960167546;6919.233904088065
A01;nq_6p_a4_ODQz;nq;5;False;False;i;0.3240745193677793;166.92154729099073;0.0;0.7182869490967709;3204.515152267372
A03;nq_5p_a0_LTcw;nq;0;True;False;r;0.30148894753946665;172.40404932923738;0.0;0.7623937749558994;2659.29491471032
A03;nq_5p_a0_LTcw;nq;1;False;True;i;0.29255143254073707;167.69000412699924;0.0;0.8152514773961816;5116.44877887343
A03;nq_5p_a0_LTcw;nq;2;False;False;i;0.3479959538679043;154.88573148900755;0.0;0.7952707728610205;5372.2476864796245
A03;nq_5p_a0_LTcw;nq;3;False;False;i;0.3129484784981429;180.3018302494587;0.0;0.7962790068240222;4133.3977840702855
A03;nq_5p_a0_LTcw;nq;4;False;True;i;0.3080210031422528;185.49280329726577;0.0;0.48687047792035515;3206.153869866921
A03;nq_5p_a3_LTYx;nq;0;False;True;i;0.4002234815463265;169.63053607461416;0.0;1.0;4681.4871070346035
A03;nq_5p_a3_LTYx;nq;1;False;False;i;0.3547585896560001;156.87447202703663;0.0;1.0;2365.287351686151
A03;nq_5p_a3_LTYx;nq;2;False;False;i;0.4500991809139928;157.19476794995975;0.0;0.8726287986998499;5608.059044059586
A03;nq_5p_a3_LTYx;nq;3;True;True;r;0.38525984519507606;144.60243786873508;0.0;0.8880156130308317;4791.867238353697
A03;nq_5p_a3_LTYx;nq;4;False;False;i;0.3333598254321328;155.36618547234013;0.0;0.8859712812664504;3224.7822214313364
A03;nq_6p_a1_LTEy;nq;0;False;False;i;0.26451044384527944;128.31588072293533;0.0;1.0;1385.1757881888966
A03;nq_6p_a1_LTEy;nq;1;True;True;r;0.32664852296308106;151.38297981863127;0.0;1.0;4588.068894490104
A03;nq_6p_a1_LTEy;nq;2;False;False;i;0.3824874864614037;147.49059368850982;0.0;1.0;3236.351118870515
A03;nq_6p_a1_LTEy;nq;3;False;False;i;0.36516020600983345;148.66970489734356;0.0;1.0;3328.9670074870282
A03;nq_6p_a1_LTEy;nq;4;False;False;i;0.40926011900213927;153.34660864325912;0.0;1.0;1373.572541209233
A03;nq_6p_a1_LTEy;nq;5;False;False;i;0.2905215937823395;260.33434102070794;0.0;0.0;0.0
A03;nq_7p_a2_LTYz;nq;0;False;False;i;0.3644840002935046;140.99874102435962;0.0;1.0;1712.8102754943097
A03;nq_7p_a2_LTYz;nq;1;False;False;i;0.31611057682236837;161.3872473761106;0.0;0.8472669503144903;3499.5557275662545
A03;nq_7p_a2_LTYz;nq;2;True;True;r;0.39987810776002275;150.51844094306574;0.0;1.0;7424.9926348627305
A03;nq_7p_a2_LTYz;nq;3;False;False;i;0.4059026366904943;171.87220935503143;0.0;0.822876671407275;7163.530426805248
A03;nq_7p_a2_LTYz;nq;4;False;False;i;0.29997999226207994;137.65961708796948;0.0;1.0;1087.3097807020329
A03;nq_7p_a2_LTYz;nq;5;False;False;i;0.3501314460767939;123.32984884805411;0.0;1.0;726.7975521185938
A03;nq_7p_a2_LTYz;nq;6;False;False;i;0.29013366309602356;154.89974444340007;0.0;1.0;6358.023491109856
