user;document;corpus;paragraph;system_relevance;perceived_relevance;system_relevance_type;f_average_fixation_duration;f_average_forward_saccades_length;f_regression_ratio;f_thorough_reading_ratio;f_coherently_read_text_length
A03;g-rel_q118-1;g-rel;0;True;True;r;0.45343487721782033;168.16191599018094;0.0;1.0;14811.686729551086
A04;g-rel_q075-1;g-rel;0;False;False;i;0.3364325851610263;169.13065789468092;0.0;0.9016867701196032;12426.530732463896
A04;g-rel_q118-1;g-rel;0;True;True;r;0.3420855077046827;177.65398117417217;0.0;0.7841899615083768;8848.737878690255
A04;g-rel_q103-1;g-rel;0;False;False;i;0.36679025392188636;192.71960596708522;0.0;0.7579508535564706;9260.647007468862
A04;g-rel_q116-1;g-rel;0;True;False;r;0.3779489953463885;187.2140383758137;0.0;0.9411161002207867;10875.9939454117
A04;g-rel_q097-2;g-rel;0;False;False;t;0.3400402558833136;161.3176950952973;0.0;0.905699227486379;7424.18221455368
A04;g-rel_q122-2;g-rel;0;False;False;i;0.3110933437675159;175.60695725086535;0.0;0.6804314166173885;7706.39422607938
A04;g-rel_q094-2;g-rel;0;False;False;t;0.34155924486424716;166.62294459833836;0.0;0.9044075957705233;17260.160050074348
A04;g-rel_q134-3;g-rel;0;False;True;t;0.3055112975576242;164.82028006130489;0.0;1.0;21469.23275714486
A04;g-rel_q085-2;g-rel;0;False;False;i;0.32673708815593266;178.72860412467327;0.0;0.7102577095983075;5148.468396405378
A04;g-rel_q076-1;g-rel;0;True;True;r;0.3434116575510268;176.45348336908066;0.0;1.0;24798.690879549045
A04;g-rel_q128-1;g-rel;0;True;True;r;0.3667908746437893;190.9052949590667;0.0;0.7002183636914022;6415.040053039855
A04;g-rel_q088-1;g-rel;0;False;False;t;0.3267924755977169;171.6841140942081;0.0;0.7699635025505818;9114.659930505079
A06;g-rel_q076-1;g-rel;0;True;True;r;0.568544588077718;192.01834854914338;0.0;0.8085180130237506;6058.851738688361
A06;g-rel_q097-2;g-rel;0;False;False;t;0.6347067196852542;177.42294790954747;0.0;0.9464181747525506;9974.278168700923
A06;g-rel_q085-2;g-rel;0;False;False;i;0.5250275698109758;183.82703965784046;0.0;0.901517656068077;12688.82109858349
A06;g-rel_q118-1;g-rel;0;True;True;r;0.5443136998623045;160.6403927810327;0.0;0.9459804888935059;14462.215204800561
A06;g-rel_q103-1;g-rel;0;False;False;i;0.4960531598107077;192.24712329763358;0.0;0.8042203589440381;9352.159153665252
A06;g-rel_q116-1;g-rel;0;True;True;r;0.5758307242961065;158.19087884085582;0.0;0.8913563372103138;25104.74469634569
A06;g-rel_q075-1;g-rel;0;False;False;i;0.5761138641615787;174.24820530727922;0.0;1.0;12635.057478106333
A06;g-rel_q134-3;g-rel;0;False;False;t;0.6280046316527003;163.8750637638315;0.0;1.0;16344.247940867683
A06;g-rel_q094-2;g-rel;0;False;True;t;0.58471519613877;157.61133213273055;0.0;1.0;17459.98814911229
A06;g-rel_q128-1;g-rel;0;True;True;r;0.5404966565388762;190.44855001504376;0.0;0.8947159396487369;4789.690721032031
A06;g-rel_q122-2;g-rel;0;False;False;i;0.5393525088286578;176.95331950453667;0.0;0.8572201178877323;10988.486807050002
A06;g-rel_q088-1;g-rel;0;False;False;t;0.535368448279776;157.1044311909802;0.0;1.0;20820.075532394658
A07;g-rel_q076-1;g-rel;0;True;False;r;0.315265907875715;158.01002565204155;0.0;0.8031714596827287;11561.719859249688
A07;g-rel_q103-1;g-rel;0;False;False;i;0.27701802529205777;161.8241880760226;0.0;0.7526582586725141;6714.067320142571
A07;g-rel_q122-2;g-rel;0;False;False;i;0.2670642138381891;184.86333466484527;0.0;1.0;10896.426846382432
A07;g-rel_q128-1;g-rel;0;True;True;r;0.2694221267687326;169.81367739461004;0.0;0.8589650004282261;4941.612032217635
A07;g-rel_q118-1;g-rel;0;True;True;r;0.2633831671215661;175.59670063166143;0.0;1.0;8856.552963476584
