timestamp|gaze_x|gaze_y|gaze_y_abs|fixation_id|scroll_y|paragraph_id
0.0|2069.15439620557|189.45628516777992|2021.45628516778||1.0|-2
0.012049702998359625|2071.20742214216|192.22089703815004|2024.22089703815||1.0|-2
0.02409940599671925|2071.45122717469|193.34303876225|2025.34303876225||1.0|-2
0.03614910899507887|2072.49826461935|193.18403181531994|2025.18403181532||1.0|-2
0.0481988119934385|2074.39159886278|192.7657829159|2024.7657829159||1.0|-2
0.060248514991798126|2076.45393514859|192.32609097884006|2024.32609097884||1.0|-2
0.07229821799015775|2076.0564470008|192.2788959275499|2024.27889592755||1.0|-2
0.08434792098851737|2074.70210542638|194.60438982466007|2026.60438982466||1.0|-2
0.096397623986877|2010.52132696803|290.4586221556201|2122.45862215562||1.0|-2
0.10844732698523663|1753.35822373732|699.400176959191|2531.400176959191||1.0|-2
0.12049702998359625|1748.66885871914|706.230720972977|2538.230720972977||1.0|-2
0.13254673298195588|1738.89374965994|720.755189900688|2552.755189900688||1.0|-2
0.1445964359803155|1732.1771289560968|727.9025814922044|2559.9025814922043||1.0|1
0.15664613897867513|1725.4605082522532|735.0499730837207|2567.049973083721||1.0|1
0.16869584197703474|1718.74388754841|742.197364675237|2574.197364675237||1.0|1
0.18074554497539438|1712.75362223865|750.137003633813|2582.137003633813||1.0|1
0.192795247973754|1700.96497388469|754.173884508741|2586.173884508741|0.0|1.0|1
0.2048449509721136|1693.43197440142|756.17204571758|2588.1720457175797|0.0|1.0|1
0.21689465397047325|1691.42847238397|756.034503492348|2588.034503492348|0.0|1.0|1
0.22894435696883286|1689.7019997080752|756.1246028287195|2588.124602828719|0.0|1.0|1
0.2409940599671925|1687.97552703218|756.214702165091|2588.214702165091|0.0|1.0|1
0.25304376296555214|1671.02641638766|758.604766612992|2590.604766612992|0.0|1.0|1
0.26509346596391176|1667.964171413235|758.6995119637005|2590.6995119637004|0.0|1.0|1
0.27714316896227137|1664.90192643881|758.794257314409|2590.794257314409|0.0|1.0|1
0.289192871960631|1660.67162653303|761.627933219046|2593.627933219046|0.0|1.0|1
0.3012425749589906|1666.12873736194|773.365934927225|2605.3659349272248||1.0|1
0.31329227795735026|1697.27752299866|851.472398931767|2683.472398931767||1.0|1
0.3253419809557099|1702.45095606596|874.938841728276|2706.938841728276||1.0|1
0.3373916839540695|1700.06373199869|891.130226153321|2723.130226153321||1.0|-2
0.3494413869524291|1697.67650793142|907.321610578366|2739.321610578366||1.0|-2
0.36149108995078877|1693.50385902509|917.534170271181|2749.534170271181||1.0|-2
0.3735407929491484|1683.3425639974432|921.9247856260587|2753.9247856260586||1.0|-2
0.385590495947508|1673.1812689697967|926.3154009809363|2758.3154009809364||1.0|-2
0.3976401989458676|1663.01997394215|930.706016335814|2762.7060163358137||1.0|1
0.4096899019442272|1626.20079738892|928.2237097909331|2760.223709790933||1.0|1
0.4217396049425869|1601.39585616138|929.2856561700739|2761.2856561700737||1.0|1
0.4337893079409465|1592.64826477273|930.610487791947|2762.610487791947||1.0|1
0.4458390109393061|1586.47944720504|930.9640380801|2762.9640380801||1.0|1
0.4578887139376657|1583.2244799628402|931.167207850413|2763.167207850413||1.0|1
0.4699384169360254|1579.96951272064|931.370377620726|2763.370377620726||1.0|1
0.481988119934385|1546.76731235446|952.22356793019|2784.2235679301903||1.0|1
0.4940378229327446|1479.4122472665501|1038.9479435455344|2870.9479435455346||1.0|0
0.5060875259311043|1412.05718217864|1125.672319160879|2957.672319160879||1.0|0
0.5181372289294639|1397.4345632125|1150.473295211868|2982.473295211868||1.0|0
0.5301869319278235|1390.131589738005|1163.9054001450181|2995.9054001450177||1.0|0
0.5422366349261831|1382.82861626351|1177.337505078168|3009.337505078168||1.0|0
0.5542863379245427|1373.029338499065|1195.1748331990366|3027.1748331990366||1.0|0
0.5663360409229024|1363.23006073462|1213.012161319905|3045.0121613199053||1.0|0
0.578385743921262|1310.19782264338|1294.527066369005|3126.5270663690053||1.0|-1
0.5904354469196216|1297.39020664931|1313.903135025381|3145.903135025381||1.0|-2
0.6024851499179812|1293.76134354989|1321.389131158069|3153.389131158069||1.0|-2
0.6145348529163409|1287.99693642269|1316.905959624279|3148.905959624279||1.0|-2
0.6265845559147005|1282.23252929549|1312.422788090489|3144.422788090489||1.0|-2
0.6386342589130601|1277.18359788979|1309.611211681601|3141.611211681601||1.0|-2
0.6506839619114198|1275.31421457162|1311.427464787576|3143.427464787576||1.0|-2
0.6627336649097794|1259.78816907088|1311.2674584323531|3143.267458432353||1.0|-2
0.674783367908139|1175.92619238777|1302.12020926698|3134.12020926698||1.0|-2
0.6868330709064986|1037.67812089408|1302.57730158203|3134.57730158203||1.0|-2
0.6988827739048582|1012.68453340845|1302.154634450279|3134.154634450279||1.0|-2
0.7109324769032178|988.336040924733|1301.411451065236|3133.411451065236||1.0|-2
0.7229821799015775|965.061420186116|1300.971257619517|3132.971257619517||1.0|-2
0.7350318828999372|926.6316668810796|1300.1448672187767|3132.1448672187767||1.0|-2
0.7470815858982968|888.201913576043|1299.318476818036|3131.3184768180363|1.0|1.0|-1
0.7591312888966564|887.392690920886|1297.809567292926|3129.8095672929257|1.0|1.0|-1
0.771180991895016|887.100108291954|1293.438537977817|3125.438537977817|1.0|1.0|-1
0.7832306948933756|887.312697532358|1289.994373756142|3121.994373756142|1.0|1.0|-1
0.7952803978917352|887.151428656488|1288.099044457812|3120.099044457812|1.0|1.0|-1
0.8073301008900948|887.5405517941615|1287.5723529514275|3119.5723529514275|1.0|1.0|-1
