user;document;corpus;paragraph;visit;system_relevance;perceived_relevance;system_relevance_type;method;f_total_time;f_fixn_n;f_fixn_dur_sum;f_fixn_dur_avg;f_fixn_dur_sd;f_scan_distance_h;f_scan_distance_v;f_scan_distance_euclid;f_scan_hv_ratio;f_avg_sacc_length;f_scan_speed_h;f_scan_speed_v;f_scan_speed;f_box_area;f_box_area_per_time;f_fixns_per_box_area;f_hull_area_per_time;f_fixns_per_hull_area
A01;g-rel_q116-1;g-rel;0;;True;True;r;LongestVisitFeatureExtractor;44.00069880485535;126.0;23.429563283920288;0.1859489149517483;0.07439749952161538;12.728671424571354;3.6779224590569406;14.072179476667532;3.4608319142854156;0.11080456280840577;0.2892833925439108;0.08358781926097712;0.31981718151973326;46.81506650638729;1.0639618864694345;0.3715481468760896;0.005262135158738956;544.188014542911
A01;g-rel_q118-1;g-rel;0;;True;True;r;LongestVisitFeatureExtractor;22.80653738975525;64.0;12.95473051071167;0.20241766422986984;0.11446260280503827;6.164658355103794;1.630818736066908;6.5990551871153285;3.7801002764852187;0.10152392595562043;0.27030224929598357;0.07150663461957515;0.2893492806180933;10.053440346954673;0.4408139725529182;0.15708500542116677;0.006807876114750279;412.20093870744404
A01;g-rel_q103-1;g-rel;0;;False;False;i;LongestVisitFeatureExtractor;24.81884241104126;85.0;16.76459050178528;0.1972304764915915;0.06842227539162798;6.6477723773387725;1.5835953202847564;7.110638748079101;4.197898473293918;0.08268184590789653;0.2678518307679552;0.06380617170042772;0.2865016276873478;10.527381227071949;0.4241689057338383;0.12385154384790528;0.006633580683238079;516.2848586724649
A01;g-rel_q076-1;g-rel;0;;True;False;r;LongestVisitFeatureExtractor;31.51343560218811;93.0;17.277750253677368;0.18578226079222976;0.09393677581152575;8.145861561101507;2.076342508336072;8.866129910233008;3.9231781502317715;0.09432053095992561;0.258488527367543;0.06588753237022188;0.28134444057941416;16.91359862633589;0.5367107172904216;0.18186665189608484;0.007856965866693181;375.6058342351171
A01;g-rel_q097-2;g-rel;0;;False;False;t;LongestVisitFeatureExtractor;33.78106498718262;106.0;19.200459480285645;0.181136410191374;0.05548554647910188;8.797552456990639;1.9025726008271318;9.423211113813009;4.624029828436485;0.08806739358703747;0.26042851107058496;0.05632068146901276;0.2789494978144831;16.737982259009804;0.49548414963710036;0.15790549300952644;0.00771874423717729;406.5237073015939
A01;g-rel_q094-2;g-rel;0;;False;False;t;LongestVisitFeatureExtractor;51.08655667304993;156.0;31.560675382614136;0.20231202168342394;0.07443849423224917;12.76808225491011;3.4367381471235503;14.143414224329979;3.7151745953053257;0.09008544091929922;0.249930374768158;0.06727284771057115;0.2768519772206757;43.880555351060856;0.8589452530906139;0.2812856112247491;0.004529771184755296;674.1269695625701
A01;g-rel_q088-1;g-rel;0;;False;False;t;LongestVisitFeatureExtractor;52.608317852020264;162.0;30.7043137550354;0.18953280095700864;0.06320823029647471;11.565941812265233;3.9578495613246574;13.332830772553573;2.9222792915843456;0.08179650780707713;0.219850059543789;0.07523239143394637;0.25343579336744687;45.776257727980465;0.8701334617225851;0.28256949214802757;0.004515599113336613;681.9385157050374
A01;g-rel_q075-1;g-rel;0;;False;False;i;LongestVisitFeatureExtractor;19.29209303855896;60.0;11.759234428405762;0.19598724047342936;0.07787626576887713;5.07734335651961;1.4147552589816994;5.617688861499417;3.5888492545163873;0.09209326002458061;0.26318260783687714;0.07333342505419391;0.291191259044386;7.183198215291912;0.3723389785097402;0.11971997025486521;0.008323404129001738;373.6551058532761
A01;g-rel_q128-1;g-rel;0;;True;True;r;LongestVisitFeatureExtractor;32.03247332572937;97.0;20.016066789627075;0.20635120401677398;0.07485630549384742;7.180318423328112;2.4207521453737475;8.27700575680303;2.9661518371677493;0.08445924241635745;0.2241574776419366;0.07557181491287882;0.2583942136667514;17.38177122773817;0.5426296949032858;0.1791935178117337;0.0030919646951284795;979.3698604235104
A01;g-rel_q122-2;g-rel;0;;False;False;i;LongestVisitFeatureExtractor;20.29244089126587;58.0;11.145065546035767;0.19215630251785804;0.05905628269531231;5.001413478533481;2.8617599430132197;6.549867723358468;1.747670516789527;0.11101470717556726;0.2464668250277449;0.14102591000991696;0.32277377366552373;14.312844751313522;0.7053288871460484;0.2467731853674745;0.010893796740938511;262.37015756735366
