user;document;corpus;paragraph;visit;system_relevance;perceived_relevance;system_relevance_type;method;f_total_time;f_fixn_n;f_fixn_dur_sum;f_fixn_dur_avg;f_fixn_dur_sd;f_scan_distance_h;f_scan_distance_v;f_scan_distance_euclid;f_scan_hv_ratio;f_avg_sacc_length;f_scan_speed_h;f_scan_speed_v;f_scan_speed;f_box_area;f_box_area_per_time;f_fixns_per_box_area;f_hull_area_per_time;f_fixns_per_hull_area
A01;nq_7p_a1_Mzgy;nq;1;;True;True;r;LongestVisitFeatureExtractor;13.459360552274042;36.0;12.965328517678499;0.3601480143799583;0.18387984418735343;3.0033286604325444;0.48109538811843655;3.082031229363209;6.242688528315682;0.08805803512466312;0.22314051613136357;0.03574429752809858;0.22898793872064604;1.444887567538019;0.10735187321316661;0.04013576576494497;0.0048394281178945385;552.6930838228882
A01;nq_7p_a1_Mzgy;nq;2;;False;False;i;LongestVisitFeatureExtractor;10.001136310105153;33.0;9.507104275509594;0.2880940689548362;0.14614928763245108;2.5682816008841813;0.665980815832276;2.8589817632846075;3.856389763531853;0.08934318010264398;0.2567989797608486;0.06659051483573608;0.2858656931208798;1.7104262758438709;0.1710231940460261;0.05183109926799609;0.00606350477647778;544.1778611390481
A01;nq_7p_a1_Mzgy;nq;3;;False;False;i;LongestVisitFeatureExtractor;13.844946530494965;46.0;13.158121506788952;0.2860461197128033;0.14608096091527822;4.123099531938112;0.7609727294236194;4.273877589948496;5.418196175125822;0.09497505755441102;0.29780537778578975;0.05496393415081063;0.30869585379292197;3.1375663045041926;0.22662177117068452;0.06820796314139549;0.007166598892584354;463.6106999309856
A01;nq_7p_a1_Mzgy;nq;6;;False;False;i;LongestVisitFeatureExtractor;12.24235480851425;40.0;11.374786357517166;0.28436965893792915;0.16138767649269148;4.647332158841529;0.5488936696965142;4.696704782186734;8.466725734714812;0.12042832774837778;0.3796109679495179;0.044835628298795296;0.3836439031255893;2.5508912029651505;0.2083660572548567;0.06377228007412876;0.003895791562776665;838.6858513960917
A01;nq_7p_a5_NTE0;nq;0;;False;False;i;LongestVisitFeatureExtractor;10.856074194756083;35.0;10.145188093212676;0.2898625169489336;0.12957705669232172;3.2029466731097984;0.4565417405599468;3.2467238086288175;7.015671051635708;0.09549187672437698;0.2950372865595327;0.042054036511695425;0.2990697880636367;1.4622788490622383;0.13469683633597285;0.041779395687492525;0.006073700341287853;530.8134030330637
A01;nq_7p_a5_NTE0;nq;3;;False;False;i;LongestVisitFeatureExtractor;13.506835929324716;43.0;12.675460658028179;0.2947781548378646;0.13657400421682184;4.311449032154981;0.7166187410714578;4.427052502607754;6.016377726472359;0.10540601196685129;0.3192049607113674;0.05305600399836098;0.32776384682338316;3.0896651776166584;0.22874825708874427;0.07185267854922461;0.00655246709789675;485.8586982857782
A01;nq_7p_a5_NTE0;nq;5;;True;True;r;LongestVisitFeatureExtractor;16.25398899969585;47.0;15.543102898152469;0.33070431698196745;0.16641373750447275;3.9399230867040673;0.537585155576936;4.012170111586154;7.3289283489901145;0.08722108938230769;0.24239730239621748;0.03307404450605913;0.24684218204289612;2.118044165526968;0.13030919152010018;0.04506476947929719;0.004236466321872663;682.5494768798919
A01;nq_7p_a5_NTE0;nq;6;;False;False;i;LongestVisitFeatureExtractor;10.868123111731393;30.0;10.386166432718966;0.34620554775729884;0.1983485801483881;2.6717753211040636;0.30883173345459236;2.7070596822745836;8.651233120436101;0.09334688559567529;0.24583594551114954;0.028416289572688932;0.249082537476273;0.8251290038177681;0.07592194119765702;0.02750430012725894;0.005137702821668757;537.27635168307
A01;nq_6p_a5_LTkw;nq;0;;False;False;i;LongestVisitFeatureExtractor;12.546965790554708;32.0;12.076906553444585;0.3774033297951433;0.21275492934293153;3.148421259793932;0.4312217628753833;3.1929811601775815;7.30116504046615;0.10299939226379295;0.25093088738346986;0.034368609118230385;0.25448233568798295;1.3576677659226744;0.10820685961738413;0.042427117685083574;0.0039532028027181206;645.1521810751681
A01;nq_6p_a5_LTkw;nq;5;;True;True;r;LongestVisitFeatureExtractor;10.184616804052578;31.0;9.557871154572435;0.3083184243410463;0.16853842287316304;3.0564698870976867;0.4069729870715684;3.0989217494562338;7.510252484055385;0.10329739164854113;0.3001065180853424;0.039959577753541906;0.30427475172390744;1.2439006798464451;0.12213524610483947;0.04012582838214339;0.0025033952629196186;1215.8712079523273
