user;document;corpus;paragraph;visit;system_relevance;perceived_relevance;system_relevance_type;method;f_total_time;f_fixn_n;f_fixn_dur_sum;f_fixn_dur_avg;f_fixn_dur_sd;f_scan_distance_h;f_scan_distance_v;f_scan_distance_euclid;f_scan_hv_ratio;f_avg_sacc_length;f_scan_speed_h;f_scan_speed_v;f_scan_speed;f_box_area;f_box_area_per_time;f_fixns_per_box_area;f_hull_area_per_time;f_fixns_per_hull_area
output;g-rel_q075-1;g-rel;0;;False;False;i;LongestVisitFeatureExtractor;29.575025113423667;98.0;27.731105454762776;0.28297046382410995;0.16910398063587906;10.225547241702229;3.48353336292781;11.738000255091217;2.9353952370669845;0.12101031190815688;0.3457494018174478;0.1177863196926479;0.3968889361910808;35.621034970664155;1.2044295764434125;0.36347994868024647;0.008503293439119741;389.6850881898499
output;g-rel_q085-2;g-rel;0;;False;False;i;LongestVisitFeatureExtractor;40.706812867494385;138.0;37.97133432370481;0.2751545965485856;0.13645681836386117;14.418809188788078;2.6611131862220274;15.262937454616674;5.418337432410535;0.11140830258844288;0.35421120380323196;0.06537267348549919;0.374947984856967;38.37008326190329;0.9425961051483585;0.2780440816079949;0.004857964978391297;697.842806549004
output;g-rel_q103-1;g-rel;0;;False;False;i;LongestVisitFeatureExtractor;30.325930589792495;102.0;28.047869826091887;0.2749791159420773;0.11277582975360649;10.879907429759404;1.6597426121343126;11.18966255277618;6.555177501750471;0.11078873814629882;0.35876582245497546;0.05473014611109645;0.36898002254686113;18.057845977248387;0.595458923305936;0.1770377056592979;0.007190266087223388;467.77937867749523
output;g-rel_q097-2;g-rel;0;;False;False;t;LongestVisitFeatureExtractor;34.29506461528757;115.0;32.19831786790176;0.2799853727643631;0.13376511333937818;11.927098701369697;2.558271339056153;12.796658131746769;4.662171099399516;0.11225138712058569;0.34777886658516466;0.07459590374749615;0.37313410181016116;30.51275476580796;0.8897127067142603;0.26532830231137355;0.00728487857839645;460.3030975101962
output;g-rel_q116-1;g-rel;0;;True;True;r;LongestVisitFeatureExtractor;48.386345516171374;152.0;45.4217026775716;0.29882699129981316;0.15992963185876882;14.133068968953967;3.9261024654121557;15.83815574211602;3.5997707888325072;0.1048884486232849;0.29208796031579826;0.0811407107424552;0.32732696741527406;55.487876922850205;1.1467672611130635;0.3650518218608566;0.0047542533289099175;660.7519391797834
output;g-rel_q076-1;g-rel;0;;True;True;r;LongestVisitFeatureExtractor;46.854131608418534;140.0;43.937799342668214;0.3138414238762015;0.2024872300677454;13.980413009688155;3.6140320369461634;15.767198337509473;3.8683699720330993;0.11343308156481635;0.29838164810157786;0.07713368945027702;0.336516712534194;50.525660506751926;1.0783608354758987;0.36089757504822806;0.005367850646949704;556.6468027081742
output;g-rel_q088-1;g-rel;0;;False;False;t;LongestVisitFeatureExtractor;48.64243608178255;141.0;46.15969529069059;0.3273737254658907;0.18788591246621886;14.472266294710062;2.3292570122409977;14.924709377120704;6.2132543633672155;0.1066050669794336;0.2975234684047862;0.04788528700176153;0.3068248751363477;33.709627749972455;0.6930086250881112;0.2390753741132798;0.00514424879489685;563.4843144944164
output;g-rel_q122-2;g-rel;0;;False;False;i;LongestVisitFeatureExtractor;53.28682308830692;168.0;50.03321787938725;0.29781677309159077;0.14669446560139685;18.617144539393944;3.2048248679469107;19.443134471092865;5.809098876382766;0.11642595491672374;0.3493761395484511;0.06014291493106795;0.3648769685306948;59.66468779001175;1.1196893402921664;0.3551469511310223;0.005004766873889691;629.9493040253632
output;g-rel_q118-1;g-rel;0;;True;True;r;LongestVisitFeatureExtractor;54.32339312356497;197.0;50.370848104814;0.25568958428839594;0.1177309191194496;20.27573782519547;4.303238670081859;21.76172656502692;4.7117390829753285;0.11102921716850468;0.37324137281108183;0.07921520403362202;0.4005958632872454;87.25133907382259;1.606146708755087;0.44290019834427713;0.004130314904552111;878.0033497412506
output;g-rel_q134-3;g-rel;0;;False;False;t;LongestVisitFeatureExtractor;43.849816172937395;128.0;41.62057297645665;0.3251607263785676;0.18070541277871763;13.082892224837545;2.42899338927382;13.65184258290002;5.386137435618485;0.10749482348740173;0.29835683171944194;0.05539346800666662;0.3113318087596789;31.778258726712256;0.724706771891206;0.2482676463024395;0.004773162063622493;611.5556915043962
output;g-rel_q128-1;g-rel;0;;True;True;r;LongestVisitFeatureExtractor;14.677501750979452;50.0;13.519703749258813;0.27039407498517626;0.14947283090182364;5.333429943622567;1.0614513519398252;5.634417672901812;5.024657921322168;0.11498811577350636;0.36337450569656105;0.0723182575583064;0.38388124685631997;5.66117642413452;0.3857043603320804;0.11322352848269039;0.00672474963713214;506.57265572332483
output;g-rel_q094-2;g-rel;0;;False;False;t;LongestVisitFeatureExtractor;29.841556549072266;100.0;27.889079908947192;0.2788907990894719;0.12249597918823235;9.80563833572382;1.7658187222202242;10.273252022659776;5.553026600258749;0.10377022245110884;0.32859004253344365;0.059173143978480613;0.34425992510699505;17.314979756541483;0.5802304490406947;0.17314979756541482;0.006944390719542258;482.5522884886755
